id,key,authors,year,title,journal_or_institution,doi_or_url,country,dataset,method,supported_finding,relevance,verification_source,verified
V5_01,Akter and Basher 2014,"Akter, S., & Basher, S. A.",2014,The impacts of food price and income shocks on household food security and economic well-being: Evidence from rural Bangladesh,"Global Environmental Change, 25, 150-162",https://doi.org/10.1016/j.gloenvcha.2014.02.003,Bangladesh,Longitudinal rural household data,Hierarchical logit and first-difference analysis,"Food-price and income shocks were associated with worse household food security, especially in the short run.",Supports the general shock-food-insecurity pathway.,ScienceDirect record opened in web verification.,1
V5_02,Ansah et al. 2021,"Ansah, I. G. K., Gardebroek, C., & Ihle, R.",2021,"Shock interactions, coping strategy choices and household food security","Climate and Development, 13(5), 414-426",https://doi.org/10.1080/17565529.2020.1785832,Ghana,Farm household survey,Probit and recursive framework,"Climate, health, pest, and price shocks are linked to coping choices and household food security.",Supports multiple-shock framing and coping caution.,Taylor & Francis search result.,1
V5_03,Azam and Gubert 2006,"Azam, J.-P., & Gubert, F.",2006,Migrants' remittances and the household in Africa: A review of evidence,"Journal of African Economies, 15(2), 426-462",https://ideas.repec.org/a/oup/jafrec/v15y2006i2p426-462.html,"Africa, multi-country",Review,Literature review,Remittance motives and selection complicate household interpretation.,Supports endogeneity and alternative-explanation discussion.,IDEAS/RePEc record.,1
V5_04,Bowen et al. 2020,"Bowen, T., del Ninno, C., Andrews, C., Coll-Black, S., Gentilini, U., Johnson, K., Kawasoe, Y., Kryeziu, A., Maher, B., & Williams, A.",2020,Adaptive Social Protection: Building Resilience to Shocks,"World Bank, International Development in Focus",https://doi.org/10.1596/978-1-4648-1575-1,Global,Policy synthesis,Framework and operational review,"Adaptive social protection links household risk, shocks, delivery systems, and resilience.",Supports policy framing without claiming this study evaluated programs.,World Bank/Policy Commons record.,1
V5_05,Brueck et al. 2014,"Brueck, T., Esenaliev, D., Kroeger, A., Kudebayeva, A., Mirkasimov, B., & Steiner, S.",2014,Household survey data for research on well-being and behavior in Central Asia,"Journal of Comparative Economics, 42(3), 819-835",https://www.iza.org/publications/dp/7055/household-survey-data-for-research-on-well-being-and-behavior-in-central-asia,Central Asia; Kyrgyzstan,Life in Kyrgyzstan and Central Asian surveys,Survey data review and dataset introduction,Central Asia has limited longitudinal microdata; LiK provides a panel resource.,Supports LiK data motivation.,IZA record.,1
V5_06,Cafiero et al. 2018,"Cafiero, C., Viviani, S., & Nord, M.",2018,Food security measurement in a global context: The food insecurity experience scale,"Measurement, 116, 146-152",https://doi.org/10.1016/j.measurement.2017.10.065,Global,FIES applications across countries,Rasch-model measurement paper,FIES uses eight experiential items and calibration for cross-country comparability.,Supports food-insecurity measurement discussion and raw-score caveat.,FAO citation record.,1
V5_07,Choi and Yang 2007,"Choi, H., & Yang, D.",2007,Are remittances insurance? Evidence from rainfall shocks in the Philippines,"The World Bank Economic Review, 21(2), 219-248",https://doi.org/10.1093/wber/lhm003,Philippines,Philippine household data with rainfall variation,Instrumental-variable analysis,Remittances responded inversely to income shocks and migrant households smoothed consumption more than non-migrant households.,Core informal-insurance and consumption-smoothing source.,IDEAS/RePEc and World Bank records.,1
V5_08,Combes and Ebeke 2011,"Combes, J.-L., & Ebeke, C.",2011,Remittances and household consumption instability in developing countries,"World Development, 39(7), 1076-1089",https://doi.org/10.1016/j.worlddev.2010.10.006,Developing countries,Cross-country panel,Panel regression,Remittances are associated with lower household consumption instability in developing countries.,Supports consumption-smoothing literature.,Published DOI verified through indexed references.,1
V5_09,FAO 2026,Food and Agriculture Organization of the United Nations,2026,About the Food Insecurity Experience Scale (FIES),FAO methodology webpage,https://www.fao.org/measuring-hunger/access-to-food/about-the-food-insecurity-experience-scale-(fies)/en,Global,FIES methodology,Official methodology documentation,FIES is an experience-based metric using eight questions about constrained food access.,Supports outcome interpretation.,FAO page opened in web verification.,1
V5_10,Hoddinott 2006,"Hoddinott, J.",2006,Shocks and their consequences across and within households in rural Zimbabwe,"The Journal of Development Studies, 42(2), 301-321",https://doi.org/10.1080/00220380500405501,Zimbabwe,Rural household data,Household shock and welfare analysis,"Household shocks can have consequences for consumption, assets, and poverty dynamics.",Supports welfare consequences of shocks.,Taylor & Francis record.,1
V5_11,Kakhkharov et al. 2021,"Kakhkharov, J., Ahunov, M., Parpiev, Z., & Wolfson, I.",2021,South-South migration: Remittances of labour migrants and household expenditures in Uzbekistan,"International Migration, 59(5), 38-58",https://doi.org/10.1111/imig.12792,Uzbekistan,Uzbekistan household expenditure data,Instrumental-variable regressions,Remittance-receiving Uzbek households differed in expenditure allocation; the study explicitly addressed selection bias.,Key Uzbekistan remittance and household expenditure source.,Wiley record.,1
V5_12,Leibniz Institute et al. 2023,"Leibniz Institute of Vegetable and Ornamental Crops, University of Central Asia, Stockholm International Peace Research Institute, & German Institute for Economic Research",2023,"Life in Kyrgyzstan Study, 2010-2019","Research Data Center of IZA, Version 2",https://doi.org/10.15185/izadp.7055.1,Kyrgyzstan,Life in Kyrgyzstan Study,Longitudinal household and individual survey,"LiK follows households and individuals across Kyrgyz regions and includes migration, shocks, and expenditure modules.",Official data citation for Kyrgyzstan.,IZA Dataverse record.,1
V5_13,Lucas and Stark 1985,"Lucas, R. E. B., & Stark, O.",1985,Motivations to remit: Evidence from Botswana,"Journal of Political Economy, 93(5), 901-918",https://doi.org/10.1086/261341,Botswana,Botswana migration and household data,Theoretical and empirical remittance-motivation analysis,"Remittance behavior can reflect household strategies, mutual arrangements, and risk sharing rather than pure altruism alone.",Core theoretical source on remittance motives.,University of Chicago/IDEAS record.,1
V5_14,O'Brien et al. 2018,"O'Brien, C., Holmes, R., Scott, Z., & Barca, V.",2018,Shock-responsive social protection systems toolkit,Oxford Policy Management and partners,https://www.social-protection.org/gimi/gess/ShowRessource.action?id=55748&lang=EN,Global,Operational toolkit,Guidance and framework,Shock-responsive social protection requires systems that can respond to covariate and idiosyncratic shocks.,Supports policy-boundary framing.,Social Protection platform record.,1
V5_15,Stark and Levhari 1982,"Stark, O., & Levhari, D.",1982,On migration and risk in LDCs,"Economic Development and Cultural Change, 31(1), 191-196",https://doi.org/10.1086/451312,Developing countries,Conceptual article,Theory,Risk diversification is a central explanation for migration decisions.,Theoretical basis for migration as risk management.,Tel Aviv University record.,1
V5_16,Uochi 2025,"Uochi, I.",2025,Listening to the Citizens of Uzbekistan: Overall Socio-Economic Trends,World Bank brief,https://documents.worldbank.org/curated/en/099640507152431194,Uzbekistan,L2CU,Descriptive monitoring brief,"L2CU monitors income, coping mechanisms, food insecurity, services, and socio-economic trends.",Supports Uzbekistan survey context.,World Bank documents record.,1
V5_17,Wang et al. 2021,"Wang, D., Hagedorn, A., & Chi, G.",2021,"Remittances and household spending strategies: Evidence from the Life in Kyrgyzstan Study, 2011-2013","Journal of Ethnic and Migration Studies, 47(13), 3015-3036",https://doi.org/10.1080/1369183X.2019.1683442,Kyrgyzstan,"Life in Kyrgyzstan Study, 2011-2013",Household fixed effects and quantile regression,"Remittances were related to household budget shares, with attention to endogeneity and heterogeneity.",Key Kyrgyzstan remittance and spending source.,Taylor & Francis and PMC records.,1
V5_18,World Bank 2023,World Bank,2023,"World Development Report 2023: Migrants, Refugees, and Societies",World Bank,https://www.worldbank.org/en/publication/wdr2023,Global,Global synthesis,Development report,Migration can bring remittances and knowledge transfers while also involving costs and policy tradeoffs.,Supports broad migration-development framing.,World Bank WDR page.,1
V5_19,World Bank 2025a,World Bank,2025,Uzbekistan - Listening to the Citizens of Uzbekistan Survey 2018-2025,World Bank Microdata Library,https://microdata.worldbank.org/catalog/6412,Uzbekistan,L2CU rounds 1-82,Survey metadata and data dictionary,L2CU is a high-frequency phone survey with household and individual data files through round 82.,Official data citation for Uzbekistan.,World Bank Microdata Library record.,1
V5_20,World Bank 2025b,World Bank,2025,Study - Listening to the Citizens of Uzbekistan,World Bank country brief,https://www.worldbank.org/en/country/uzbekistan/brief/l2cu,Uzbekistan,L2CU,Survey overview,"The L2CU panel began monthly phone interviews in September 2018 and monitors food security, income, employment, remittances, services, and shocks.","Supports survey producer, purpose, and fieldwork description.",World Bank L2CU page.,1
