year,source_file,variable_name,variable_label,value_labels,storage_type,missing_codes,nonmissing_count,unique_value_count,minimum,maximum,probable_concept,probable_role,documentation_source,verification_status,notes
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,Random_ID,Unique respondent identifier,{},float64,no special missing metadata supplied,1000,1000,111175919.0,211110572.0,respondent identifier,design/control candidate,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,WORRIED,Worried you would not have enough food to eat because of a lack of money or other resources,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,992,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,HEALTHY,Unable to eat healthy and nutritious food because of a lack of money or other resources,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,981,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,FEWFOOD,Ate only a few kinds of foods because of a lack of money or other resources,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,976,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,SKIPPED,Skipped a meal because there was not enough money or other resources to get food,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,978,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,ATELESS,Ate less than you thought you should because of a lack of money or other resources,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,975,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,RUNOUT,Household ran out of food because of a lack of money or other resources,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,984,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,HUNGRY,Hungry but did not eat because there was not enough money or other resources for food?,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,983,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,WHLDAY,Went without eating for a whole day because of a lack of money or other resources?,{},str,blank/system missing observed; refusal and do-not-know codes not documented in questionnaire PDF,973,2,0.0,1.0,FIES item,raw food-insecurity item,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf page 1,VERIFIED,Aggregate only; no respondent-level values exported.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,wt,Post-stratification sampling weights,{},float64,no special missing metadata supplied,1000,351,0.343816953578758,2.706660804556,survey weight,design/control candidate,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,VERIFIED,Aggregate only; no respondent-level values exported.
