year,concept,classification,verified_variables,evidence_source,notes
2014,migration/remittances,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF","No remittance, migration, or transfer-from-abroad variable was verified; do not infer remittances from Income."
2014,household shocks,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",No household shock exposure module was verified; do not infer shocks from food insecurity or demographics.
2014,coping/assistance,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",Not available in supplied Kazakhstan FIES package.
2014,age,VERIFIED AVAILABLE,"[""N_adults"", ""N_child"", ""Age""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,sex/gender,VERIFIED AVAILABLE,"[""Gender""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,education,VERIFIED AVAILABLE,"[""Education""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,employment,NOT AVAILABLE,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2014,marital status,NOT AVAILABLE,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2014,household size,VERIFIED AVAILABLE,"[""N_adults"", ""N_child""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,children,VERIFIED AVAILABLE,"[""N_child""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,income/wealth,VERIFIED AVAILABLE,"[""Income""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,region,NOT AVAILABLE,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2014,rural or urban residence,VERIFIED AVAILABLE,"[""Area""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Area is available but combines Towns/Rural into one category.
2014,survey weight,VERIFIED AVAILABLE,"[""wt""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2014,FIES food insecurity,VERIFIED AVAILABLE,"[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,migration/remittances,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF","No remittance, migration, or transfer-from-abroad variable was verified; do not infer remittances from Income."
2015,household shocks,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",No household shock exposure module was verified; do not infer shocks from food insecurity or demographics.
2015,coping/assistance,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",Not available in supplied Kazakhstan FIES package.
2015,age,VERIFIED AVAILABLE,"[""N_adults"", ""N_child"", ""Age""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,sex/gender,VERIFIED AVAILABLE,"[""Gender""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,education,VERIFIED AVAILABLE,"[""Education""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,employment,NOT AVAILABLE,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2015,marital status,NOT AVAILABLE,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2015,household size,VERIFIED AVAILABLE,"[""N_adults"", ""N_child""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,children,VERIFIED AVAILABLE,"[""N_child""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,income/wealth,VERIFIED AVAILABLE,"[""Income""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,region,NOT AVAILABLE,[],data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; supplied PDFs,Not available in supplied Kazakhstan FIES package.
2015,rural or urban residence,VERIFIED AVAILABLE,"[""Area""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Area is available but combines Towns/Rural into one category.
2015,survey weight,VERIFIED AVAILABLE,"[""wt""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2015,FIES food insecurity,VERIFIED AVAILABLE,"[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
2016,migration/remittances,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF","No remittance, migration, or transfer-from-abroad variable was verified; do not infer remittances from Income."
2016,household shocks,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",No household shock exposure module was verified; do not infer shocks from food insecurity or demographics.
2016,coping/assistance,NOT AVAILABLE,[],"searched variable names, labels, value labels, FIES questionnaire, and derived-indicator PDF",Not available in supplied Kazakhstan FIES package.
2016,age,VERIFIED AVAILABLE,"[""N_adults"", ""N_child"", ""Age""]",data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav; labels/value labels,Available for benchmark use subject to Phase 3 approval.
