year,concept,exact_name,label,coding,source_documentation,missingness,uniqueness,applies_to_all_records,whether_weight_normalized,whether_yearly_weights_can_be_used_in_pooled_multi_year_file,uncertainty
2014,respondent ID,Random_ID,Unique respondent identifier,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1000 unique nonmissing IDs; duplicate rows=0,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,household ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,interview ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,country ID,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,year variable,year,Year when the GWP was administered in the country,"{""1.0"": ""2014""}",data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav variable label/value label metadata,0 missing or blank of 1000 records,1 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,No major uncertainty beyond supplied documentation.
2014,interview date,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,survey weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,388 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2014,population weight,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
2014,post-stratification weight,wt,Post-stratification sampling weights,[],data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf pp. 1-4,0 missing or blank of 1000 records,388 unique nonmissing values,yes,DOCUMENTATION INSUFFICIENT; technical formula uses wt but does not state multi-year normalization,TBD; likely requires year/population-aware rescaling before pooled trend estimation,Post-stratification weight is documented for prevalence formulas; exact sample-design variance variables are absent.
2014,strata,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,searched canonical microdata labels and supplied resources,NOT AVAILABLE,NOT AVAILABLE,no,NOT AVAILABLE,NOT AVAILABLE,No verified variable found.
