survey_year,source_folder,relative_path,filename,extension,file_size,sha256_checksum,probable_file_format,probable_role,microdata_or_study_resource,openable_status,parsing_method,opening_warning,opening_error,probable_language,notes
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.dta,KAZ_2014_FIES_v01_EN_M_v01_A_OCS.dta,.dta,111242,bc3dab59950765b14f0611339707368b822bbb1ddbc59902ac48f983f528993a,Stata DTA,microdata,microdata,openable,pyreadstat.read_dta,,,English,"rows=1000, columns=23"
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.RData,KAZ_2014_FIES_v01_EN_M_v01_A_OCS.RData,.rdata,20069,b55b2e07aa1aa04eae89df5cfd77c3f0e2243280211da3f76646cedee15f6ac8,RData,microdata,microdata,unsupported,not parsed,,RData parser is not available in the bundled runtime; treated as alternate unsupported format.,English,
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav,KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav,.sav,187479,4bad7043de9cf2e0f869f39f132a763ee4be5a6c4f222b4de0f3b5d9babc9301,SPSS SAV,microdata,microdata,openable,pyreadstat.read_sav(user_missing=True),,,English,"rows=1000, columns=23"
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,FIES_Questions.pdf,.pdf,174058,b8b6c878aace162402b3707fccf7524cbb5392919d9fb6f274c4abe5f1f643d8,PDF,questionnaire,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=1; text_chars=1121
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,Derived_variables_and_Computation_indicator.pdf,.pdf,578696,ed4b166f1efb045564c22172a3db9178b131abc50384c0eb5ea1f2a92fc84ea4,PDF,derived-indicator documentation,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=4; text_chars=8585
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.dta,KAZ_2015_FIES_v01_EN_M_v01_A_OCS.dta,.dta,110242,d7f8c27ec0121faab7adab12fc8f7e4f3a84fe40a6c59339822e9c8e99950d91,Stata DTA,microdata,microdata,openable,pyreadstat.read_dta,,,English,"rows=1000, columns=23"
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.RData,KAZ_2015_FIES_v01_EN_M_v01_A_OCS.RData,.rdata,21241,1d008d7489631d728f0d320dd02fff720d5618d4b5e5fcaec8d35a63a1168fb0,RData,microdata,microdata,unsupported,not parsed,,RData parser is not available in the bundled runtime; treated as alternate unsupported format.,English,
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,.sav,187479,0749429f18eaa460016546f964a3d0fb06d02f649537e9245242c5f9bbb0ddb1,SPSS SAV,microdata,microdata,openable,pyreadstat.read_sav(user_missing=True),,,English,"rows=1000, columns=23"
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/questionnaires/FIES_Questions.pdf,FIES_Questions.pdf,.pdf,174058,b8b6c878aace162402b3707fccf7524cbb5392919d9fb6f274c4abe5f1f643d8,PDF,questionnaire,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=1; text_chars=1121
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/resources/technical/Derived_variables_and_Computation_indicator.pdf,Derived_variables_and_Computation_indicator.pdf,.pdf,578696,ed4b166f1efb045564c22172a3db9178b131abc50384c0eb5ea1f2a92fc84ea4,PDF,derived-indicator documentation,study resource,openable,pypdf.PdfReader.extract_text,,,English,pages=4; text_chars=8585
