year,left_file,right_file,left_format,right_format,same_row_count,same_column_count,same_variable_names,variable_name_overlap,aggregate_missingness_signature_match,respondent_key_overlap_check,classification,notes
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.RData,Stata DTA,RData,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav,Stata DTA,SPSS SAV,true,true,true,23,true,not exported; Random_ID uniqueness checked only in aggregate for parsed files,probable format duplicates,Aggregate signatures match but exact string representation differs.
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.RData,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav,RData,SPSS SAV,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.RData,Stata DTA,RData,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,Stata DTA,SPSS SAV,true,true,true,23,true,not exported; Random_ID uniqueness checked only in aggregate for parsed files,probable format duplicates,Aggregate signatures match but exact string representation differs.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.RData,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,RData,SPSS SAV,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.RData,Stata DTA,RData,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav,Stata DTA,SPSS SAV,true,true,true,23,true,not exported; Random_ID uniqueness checked only in aggregate for parsed files,probable format duplicates,Aggregate signatures match but exact string representation differs.
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.RData,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav,RData,SPSS SAV,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.RData,Stata DTA,RData,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.dta,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav,Stata DTA,SPSS SAV,true,true,true,23,true,not exported; Random_ID uniqueness checked only in aggregate for parsed files,probable format duplicates,Aggregate signatures match but exact string representation differs.
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.RData,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.sav,RData,SPSS SAV,,,,,,not exported; Random_ID uniqueness checked only in aggregate for parsed files,uncertain,At least one format not parsed: RData parser is not available in the bundled runtime; treated as alternate unsupported format.
