year,source_file,format,rows,columns,variable_names,variable_labels,value_label_availability,file_encoding,missing_value_metadata,identifier_candidates,weight_candidates,strata_candidates,psu_or_cluster_candidates,region_candidates,urban_rural_candidates,respondent_characteristics,fies_candidates,derived_score_candidates,opening_warnings,notes
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.dta,Stata DTA,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resource"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other res"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_dta
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.RData,RData,,,[],{},not parsed,,not parsed,[],[],[],[],[],[],[],[],[],,RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2014,data/kazakhstan/KAZ_2014_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2014_FIES_v01_EN_M_v01_A_OCS.sav,SPSS SAV,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resources"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other resources"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for food?"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources?"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other resources"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",UTF-8,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_sav(user_missing=True)
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.dta,Stata DTA,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resource"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other res"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_dta
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.RData,RData,,,[],{},not parsed,,not parsed,[],[],[],[],[],[],[],[],[],,RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2015,data/kazakhstan/KAZ_2015_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2015_FIES_v01_EN_M_v01_A_OCS.sav,SPSS SAV,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resources"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other resources"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for food?"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources?"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other resources"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",UTF-8,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_sav(user_missing=True)
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.dta,Stata DTA,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resource"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other res"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_dta
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.RData,RData,,,[],{},not parsed,,not parsed,[],[],[],[],[],[],[],[],[],,RData parser is not available in the bundled runtime; treated as alternate unsupported format.
2016,data/kazakhstan/KAZ_2016_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2016_FIES_v01_EN_M_v01_A_OCS.sav,SPSS SAV,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resources"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other resources"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for food?"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources?"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other resources"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",UTF-8,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_sav(user_missing=True)
2017,data/kazakhstan/KAZ_2017_FIES_v01_EN_M_v01_A_OCS/microdata/KAZ_2017_FIES_v01_EN_M_v01_A_OCS.dta,Stata DTA,1000,23,"[""Random_ID"", ""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY"", ""wt"", ""year"", ""N_adults"", ""N_child"", ""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev"", ""Age"", ""Education"", ""Area"", ""Gender"", ""Income""]","{""ATELESS"": ""Ate less than you thought you should because of a lack of money or other resource"", ""Age"": ""Age of the respondent"", ""Area"": ""Area"", ""Education"": ""Education of the respondent"", ""FEWFOOD"": ""Ate only a few kinds of foods because of a lack of money or other resources"", ""Gender"": ""Gender of the respondent"", ""HEALTHY"": ""Unable to eat healthy and nutritious food because of a lack of money or other res"", ""HUNGRY"": ""Hungry but did not eat because there was not enough money or other resources for"", ""Income"": ""Income quintile"", ""N_adults"": ""Number of adults 15 years of age and above in household"", ""N_child"": ""Number of children under 15 years of age in household"", ""Prob_Mod_Sev"": ""Probability of being moderately or severely food insecure"", ""Prob_sev"": ""Probability of being severely food insecure"", ""RUNOUT"": ""Household ran out of food because of a lack of money or other resources"", ""Random_ID"": ""Unique respondent identifier"", ""Raw_score"": ""Sum of Affirmative responses to FIES questions"", ""Raw_score_par"": ""Estimated person parameters using the Rasch model"", ""Raw_score_par_error"": ""Estimated person parameter errors using the Rasch model"", ""SKIPPED"": ""Skipped a meal because there was not enough money or other resources to get food"", ""WHLDAY"": ""Went without eating for a whole day because of a lack of money or other resources"", ""WORRIED"": ""Worried you would not have enough food to eat because of a lack of money or other"", ""wt"": ""Post-stratification sampling weights"", ""year"": ""Year when the GWP was administered in the country""}","5 labelled variables: ['year', 'Education', 'Area', 'Gender', 'Income']",,"{""missing_ranges"": {}, ""missing_user_values"": {}}","[""Random_ID"", ""HUNGRY""]","[""wt""]",[],[],[],"[""Area""]","[""Age"", ""Education"", ""Gender"", ""Income"", ""N_adults"", ""N_child""]","[""WORRIED"", ""HEALTHY"", ""FEWFOOD"", ""SKIPPED"", ""ATELESS"", ""RUNOUT"", ""HUNGRY"", ""WHLDAY""]","[""Raw_score"", ""Raw_score_par"", ""Raw_score_par_error"", ""Prob_Mod_Sev"", ""Prob_sev""]",,Read only; no respondent-level output exported. method=pyreadstat.read_dta
