country,archive_id,parent_archive_id,nesting_depth,relative_path,filename,archive_format,file_size,sha256,number_of_members,total_compressed_size,estimated_uncompressed_size,integrity_result,encrypted_status,duplicate_status,extraction_status,extraction_location,warnings,errors,notes
kyrgyzstan,kyrgyzstan-00-9f4206f0c161,,0,data/kyrgyzstan/dataverse_files.zip,dataverse_files.zip,zip,72129966,9f4206f0c161d00a3578bd4f5f9587725616f10c70bdc3c8256f325e73472a98,3,72129572,72110746,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00,,,Original archive detected in legacy data/<country>/ location; left in place.
kyrgyzstan,kyrgyzstan-01-a2e795f2838c,kyrgyzstan-00-9f4206f0c161,1,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/Documentation.zip,Documentation.zip,zip,1219342,a2e795f2838cbe38a444fbddfb902a8ed2ea17164a70d276503d80c479189ce1,3,1218888,1363702,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2,,,
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/IDSC_repository.zip,IDSC_repository.zip,zip,70891297,58e70c17db2b9b7a9ac7efa86251ce23bf38015122e77fe9dce930e74bb3bfcf,5,70890557,71878521,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17,,,
kyrgyzstan,kyrgyzstan-02-e244fdd87bf8,kyrgyzstan-01-58e70c17db2b,2,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_Docu.zip,LIK_10_13_Docu.zip,zip,21184698,e244fdd87bf8b9fda79d66f83f0b070d143774f4952b20920cbe661585d2bb66,73,21173678,34279427,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_Docu__e244fdd8,,,
kyrgyzstan,kyrgyzstan-02-b52af7b045d9,kyrgyzstan-01-58e70c17db2b,2,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_spss.zip,LIK_10_13_spss.zip,zip,12240200,b52af7b045d9abf88363e74ef4fb658e5b263ddce78154d83046f594164e13d0,157,12218108,62384488,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0,,,
kyrgyzstan,kyrgyzstan-02-4f932d8b00ca,kyrgyzstan-01-58e70c17db2b,2,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_stata.zip,LIK_10_13_stata.zip,zip,10132898,4f932d8b00caf06a14106869048f451b82dd24646b9c17e67fa7bb97825ee1fd,157,10110488,59487010,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b,,,
kyrgyzstan,kyrgyzstan-02-e03a0c7475d5,kyrgyzstan-01-58e70c17db2b,2,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LiK_2016.zip,LiK_2016.zip,zip,19574155,e03a0c7475d58d8a16eef2e1bad495c2ff13a830b1698e2d5aa8e43271cf41fd,124,19533345,47098068,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74,,,
kyrgyzstan,kyrgyzstan-02-7c67a2352648,kyrgyzstan-01-58e70c17db2b,2,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LiK_2022.zip,LiK_2022.zip,zip,8746570,7c67a2352648cd45ea80054e44937edfdb6ead988c024ab1a41282a4de752b59,70,8728232,21292900,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235,,,
kyrgyzstan,kyrgyzstan-03-9d935d7716e8,kyrgyzstan-02-e03a0c7475d5,3,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_questionnaires/English/LiK16_Questionnaires_Eng.zip,LiK16_Questionnaires_Eng.zip,zip,1421490,9d935d7716e8c685043cd95a6ea36586192393ac6e59493b2e9007e6881d171e,5,1420588,1898392,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_03/LiK16_Questionnaires_Eng__9d935d77,,,
kyrgyzstan,kyrgyzstan-03-78df449660e4,kyrgyzstan-02-e03a0c7475d5,3,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_questionnaires/Kyrgyz/LiK16_Questionnaires_Kyr.zip,LiK16_Questionnaires_Kyr.zip,zip,2626965,78df449660e46124bb0bc07e9b5ffa6ca07236048eab340803d921118d58c71b,5,2626083,3432689,passed,not encrypted,unique,verified existing extraction,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_03/LiK16_Questionnaires_Kyr__78df4496,,,
