country,archive_id,parent_archive_id,nesting_depth,member_path,filename,extension,compressed_size,uncompressed_size,crc_result,encryption_status,directory_or_file,nested_archive_status,suspected_role,extraction_path,safe_or_unsafe,notes
kyrgyzstan,kyrgyzstan-00-9f4206f0c161,,0,Documentation.zip,Documentation.zip,.zip,1217127,1219342,0ddaf6b6,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/Documentation.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-00-9f4206f0c161,,0,IDSC_repository.zip,IDSC_repository.zip,.zip,70912368,70891297,def591cc,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/IDSC_repository.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-00-9f4206f0c161,,0,MANIFEST.TXT,MANIFEST.TXT,.txt,77,107,19abccb7,not encrypted,file,not archive,README,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/MANIFEST.TXT,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,LIK_10_13_Docu.zip,LIK_10_13_Docu.zip,.zip,20981141,21184698,5ddbb001,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_Docu.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,LIK_10_13_spss.zip,LIK_10_13_spss.zip,.zip,12079433,12240200,046b7566,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_spss.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,LIK_10_13_stata.zip,LIK_10_13_stata.zip,.zip,10009643,10132898,738afa6d,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_stata.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,LiK_2016.zip,LiK_2016.zip,.zip,19191942,19574155,de8255a6,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LiK_2016.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-58e70c17db2b,kyrgyzstan-00-9f4206f0c161,1,LiK_2022.zip,LiK_2022.zip,.zip,8628398,8746570,40ae6acb,not encrypted,file,nested archive,other,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LiK_2022.zip,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-a2e795f2838c,kyrgyzstan-00-9f4206f0c161,1,LiK_FAQs.pdf,LiK_FAQs.pdf,.pdf,302657,357465,80a02f65,not encrypted,file,not archive,publication,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_FAQs.pdf,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-a2e795f2838c,kyrgyzstan-00-9f4206f0c161,1,LiK_FAQs_Rus.pdf,LiK_FAQs_Rus.pdf,.pdf,670670,742588,299bac55,not encrypted,file,not archive,publication,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_FAQs_Rus.pdf,safe,already present; not overwritten
kyrgyzstan,kyrgyzstan-01-a2e795f2838c,kyrgyzstan-00-9f4206f0c161,1,LiK_PUBLICATIONS.pdf,LiK_PUBLICATIONS.pdf,.pdf,245561,263649,c9e26305,not encrypted,file,not archive,publication,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_PUBLICATIONS.pdf,safe,already present; not overwritten
