concept,available_in_kyrgyzstan,available_in_uzbekistan,kyrgyzstan_candidate_variables,uzbekistan_candidate_variables,question_wording_match,recall_period_match,response_scale_match,observation_level_match,year_compatibility,harmonization_possibility,feasibility_status,explanation
migration,yes,yes,"[""y613 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt6.dta"", ""i710_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id7.dta"", ""i711_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id7.dta"", ""i500_15 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id5.dta"", ""h621_o1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h621_o2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h621_o3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h621_o4 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h621_o5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h621_o6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h622 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h624 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta""]","[""WB15 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB16 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav"", ""WB17 | data/interim/unpacked/uzbekistan/UNICEF-UZ-20250314T080638Z-001/depth_00/UNICEF-UZ/Uzbekistan_MICS6_Datasets/Uzbekistan_MICS6_SPSS_Datasets/wm.sav""]",no exact match / unknown,unknown or different,requires value-label review,different or unknown,LiK latest wave 2019 versus MICS6 2021-22; not contemporaneous,possible only with construct-level harmonization,conceptually comparable,"Automated candidates exist in both countries, but instruments, survey years, recall periods, and observation levels must be verified."
remittances,yes,not found,"[""i500_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id5.dta"", ""h620 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h625 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h626 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h627_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_10 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_11 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_12 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_13 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_14 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_o1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""h628_o2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
economic shocks,yes,not found,"[""h701 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""h703 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""h704 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""shock | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
employment shocks,yes,not found,"[""shock | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
health shocks,yes,not found,"[""shock | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""i214_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2010/individial/id2.dta"", ""i214_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/individial/id2.sav""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
agricultural shocks,yes,not found,"[""shock | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""a708 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Agriculture/ag71.dta"", ""h701_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh7.dta"", ""c145_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""c146_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""ls06 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Agriculture/agr7_1a.dta"", ""h701_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Household/hh7.sav"", ""c145_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Community/cm1.sav"", ""c146_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Community/cm1.sav"", ""ls06 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Agriculture/agr7_1a.sav"", ""h701_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/household/hh7.dta"", ""c145_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/community/cm1.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
climate-related shocks,yes,not found,"[""h804_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h804_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""h804_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh8.dta"", ""shock | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta"", ""a408 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Agriculture/ag4.dta"", ""h701_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh7.dta"", ""h701_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh7.dta"", ""h701_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh7.dta"", ""c145_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""c145_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""c145_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta"", ""c146_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Community/cm1.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
food insecurity,yes,not found,"[""y312_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt3.dta"", ""y312_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt3.dta"", ""y312_9 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Youth/yt3.dta"", ""i251_1 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_2 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_3 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_4 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_5 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta"", ""i251_8 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
food expenditure,yes,not found,"[""h628a_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta"", ""nfitem | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh4b.dta"", ""h401c | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh4a.dta"", ""h621_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh6b.dta"", ""h401c | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh4a.dta"", ""h621_6 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_spss/Household/hh6b.sav"", ""h403 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/household/hh4b.dta"", ""h401c | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/household/hh4a.dta"", ""h403 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2013/household/hh4b.sav"", ""h621_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2012/household/hh6b.dta"", ""h621_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2012/household/hh6b.sav"", ""h621_7 | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2011/household/hh6b.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
food consumption,yes,not found,"[""h402a | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh4a.dta"", ""h402a | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2016__e03a0c74/LiK16_IDSC-IZA/LiK16_data_stata/Household/hh4a.dta"", ""h402a | data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2013/household/hh4a.dta""]",[],no exact match / unknown,unknown or different,not assessable,different or unknown,not assessable,not possible as a two-country measure from current files,not comparable,"Candidate evidence appears in only one country; absence here means not found in labels, not proof of absolute absence."
