country,survey_name,source_archive,relative_path,filename,format,size,number_of_rows,number_of_columns,survey_year,wave_or_round,probable_observation_level,variable_names,variable_labels,value_label_availability,candidate_id_variables,candidate_weight_variables,candidate_strata,candidate_psu,candidate_region,candidate_urban_rural_variable,candidate_date_variables,duplicate_row_risk,all_missing_column_count,warnings,notes
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/mroster/mroster1013_short.sav,mroster1013_short.sav,sav,1528780,16078,17,,,UNCERTAIN,"[""idpp"", ""idp10"", ""idp11"", ""idp12"", ""idp13"", ""hhidp"", ""hhid10"", ""hhid11"", ""hhid12"", ""hhid13"", ""pid10"", ""pid11"", ""pid12"", ""pid13"", ""bmn"", ""byr"", ""gender""]","{""bmn"": ""Month of birth"", ""byr"": ""Year of birth"", ""gender"": ""1 male; 2 female"", ""hhid10"": ""HH ID in LiK10"", ""hhid11"": ""HH ID in LiK11"", ""hhid12"": ""HH ID in LiK12"", ""hhid13"": ""HH ID in LiK13"", ""hhidp"": ""Panel HH ID in LiK"", ""idp10"": ""Unique individual identifier in LiK10"", ""idp11"": ""Unique individual identifier in LiK11"", ""idp12"": ""Unique individual identifier in LiK12"", ""idp13"": ""Unique individual identifier in LiK13"", ""idpp"": ""Unique panel individual identifier"", ""pid10"": ""Individual ID in LiK10"", ""pid11"": ""Individual ID in LiK11"", ""pid12"": ""Individual ID in LiK12"", ""pid13"": ""Individual ID in LiK13""}",0,"[""idpp"", ""hhidp"", ""hhid10"", ""hhid11"", ""hhid12"", ""hhid13"", ""pid10"", ""pid11"", ""pid12"", ""pid13""]",[],[],[],[],[],"[""bmn"", ""byr""]",no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-4f932d8b00ca,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/mroster/mroster1013_short.dta,mroster1013_short.dta,dta,727263,16078,17,,,UNCERTAIN,"[""idpp"", ""idp10"", ""idp11"", ""idp12"", ""idp13"", ""hhidp"", ""hhid10"", ""hhid11"", ""hhid12"", ""hhid13"", ""pid10"", ""pid11"", ""pid12"", ""pid13"", ""bmn"", ""byr"", ""gender""]","{""bmn"": ""Month of birth"", ""byr"": ""Year of birth"", ""gender"": ""1 male; 2 female"", ""hhid10"": ""HH ID in LiK10"", ""hhid11"": ""HH ID in LiK11"", ""hhid12"": ""HH ID in LiK12"", ""hhid13"": ""HH ID in LiK13"", ""hhidp"": ""Panel HH ID in LiK"", ""idp10"": ""Unique individual identifier in LiK10"", ""idp11"": ""Unique individual identifier in LiK11"", ""idp12"": ""Unique individual identifier in LiK12"", ""idp13"": ""Unique individual identifier in LiK13"", ""idpp"": ""Unique panel individual identifier"", ""pid10"": ""Individual ID in LiK10"", ""pid11"": ""Individual ID in LiK11"", ""pid12"": ""Individual ID in LiK12"", ""pid13"": ""Individual ID in LiK13""}",0,"[""idpp"", ""hhidp"", ""hhid10"", ""hhid11"", ""hhid12"", ""hhid13"", ""pid10"", ""pid11"", ""pid12"", ""pid13""]",[],[],[],[],[],"[""bmn"", ""byr""]",no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/additional_data/Exchange_rates_2010-13.xlsx,Exchange_rates_2010-13.xlsx,xlsx,478574,370,11,2010,2010,UNCERTAIN,"[""National Bank exchange rates (http://www.nbkr.kg/index1.jsp?item=1562&lang=RUS)"", ""column_2"", ""column_3"", ""column_4"", ""column_5"", ""column_6"", ""column_7"", ""column_8"", ""column_9"", ""column_10"", ""column_11""]",{},0,[],[],[],[],[],[],[],not computed,not computed,quality scan not implemented for this format,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/community/cm1.sav,cm1.sav,sav,49068,120,128,2010,2010,community,"[""soate"", ""cluster"", ""obl"", ""interv"", ""superv"", ""urb"", ""datab"", ""gender"", ""dolj"", ""educ"", ""longliv"", ""c101"", ""c102"", ""c103"", ""c104"", ""c105_01"", ""c105_02"", ""c105_03"", ""c105_04"", ""c105_05"", ""c105_06"", ""c105_07"", ""c105_08"", ""c105_09"", ""c105_10"", ""c105_11"", ""c105_12"", ""c105_13"", ""c105_14"", ""c105_15"", ""c105_16"", ""c106_01"", ""c106_02"", ""c106_03"", ""c106_04"", ""c106_05"", ""c106_06"", ""c106_07"", ""c106_08"", ""c106_09"", ""c106_10"", ""c106_11"", ""c106_12"", ""c106_13"", ""c106_14"", ""c106_15"", ""c106_16"", ""c107"", ""c108"", ""c109"", ""c110_1"", ""c110_2"", ""c110_3"", ""c111_01"", ""c111_02"", ""c111_03"", ""c111_04"", ""c111_05"", ""c111_06"", ""c111_07"", ""c111_08"", ""c111_09"", ""c111_10"", ""c111_11"", ""c111_12"", ""c111_13"", ""c111_14"", ""c111_15"", ""c111_16"", ""c112"", ""c113"", ""c114"", ""c115_01"", ""c115_02"", ""c115_03"", ""c115_04"", ""c115_05"", ""c115_06"", ""c115_07"", ""c115_08"", ""c115_09"", ""c115_10"", ""c115_11"", ""c116_01"", ""c116_02"", ""c116_03"", ""c116_04"", ""c116_05"", ""c116_06"", ""c116_07"", ""c116_08"", ""c116_09"", ""c116_10"", ""c116_11"", ""c116_12"", ""c116_13"", ""c116_14"", ""c116_15"", ""c116_16"", ""c116_17"", ""c117_01"", ""c117_02"", ""c117_03"", ""c117_04"", ""c117_05"", ""c117_06"", ""c117_07"", ""c117_08"", ""c117_09"", ""c117_10"", ""c117_11"", ""c117_12"", ""c117_13"", ""c117_14"", ""c117_15"", ""c117_16"", ""c117_17"", ""c118"", ""c119_1"", ""c119_2"", ""c119_3"", ""c119_4"", ""c119_5"", ""c119_6"", ""c119_7"", ""c119_7n"", ""c120"", ""c121""]","{""c101"": ""Land area of this population point, in ha"", ""c102"": ""how many people live in this population point?"", ""c103"": ""What is a proportion of households that have migrants abroad, in %?"", ""c104"": ""since 1991, have more people moved into or out of this community?"", ""c105_01"": ""is there a....in this population point?  kindergarten"", ""c105_02"": ""is there a....in this population point?  public school"", ""c105_03"": ""is there a....in this population point?  private school"", ""c105_04"": ""is there a....in this population point?  hospital/ clinic/ medical center"", ""c105_05"": ""is there a....in this population point?  doctor's office"", ""c105_06"": ""is there a....in this population point?  pharmacy/ shop selling drugs or medicin"", ""c105_07"": ""is there a....in this population point?  feeder road/ rural access road/ allweat"", ""c105_08"": ""is there a....in this population point?  telephone booth/ place to make paid cal"", ""c105_09"": ""is there a....in this population point?  market to buy inputs"", ""c105_10"": ""is there a....in this population point?  market to sell agricultural produce"", ""c105_11"": ""is there a....in this population point?  market to sell non-agricultural produce"", ""c105_12"": ""is there a....in this population point?  post office"", ""c105_13"": ""is there a....in this population point?  bank or place for savings deposit"", ""c105_14"": ""is there a....in this population point?  source for credit"", ""c105_15"": ""is there a....in this population point?  money transfer agency"", ""c105_16"": ""is there a....in this population point?  major factory/ other source of employme"", ""c106_01"": ""how far is it from the population point center  (in km)?  kindergarten"", ""c106_02"": ""how far is it from the population point center  (in km)?  public school"", ""c106_03"": ""how far is it from the population point center  (in km)?  private school"", ""c106_04"": ""how far is it from the population point center  (in km)?  hospital/ clinic/ medi"", ""c106_05"": ""how far is it from the population point center  (in km)?  doctor's office"", ""c106_06"": ""how far is it from the population point center  (in km)?  pharmacy/ shop selling"", ""c106_07"": ""how far is it from the population point center  (in km)?  feeder road/ rural acc"", ""c106_08"": ""how far is it from the population point center  (in km)?  telephone booth/ place"", ""c106_09"": ""how far is it from the population point center  (in km)?  market to buy inputs"", ""c106_10"": ""how far is it from the population point center  (in km)?  market to sell agricul"", ""c106_11"": ""how far is it from the population point center  (in km)?  market to sell non-agr"", ""c106_12"": ""how far is it from the population point center  (in km)?  post office"", ""c106_13"": ""how far is it from the population point center  (in km)?  bank or place for savi"", ""c106_14"": ""how far is it from the population point center  (in km)?  source for credit"", ""c106_15"": ""how far is it from the population point center  (in km)?  money transfer agency"", ""c106_16"": ""how far is it from the population point center  (in km)?  major factory/ other s"", ""c107"": ""How far is the next country border, in km?"", ""c108"": ""which country is it?"", ""c109"": ""what part of the school-age children (1-9 grades ) attend school in this communi"", ""c110_1"": ""which of the following is available to any households in this population point?"", ""c110_2"": ""which of the following is available to any households in this population point?"", ""c110_3"": ""which of the following is available to any households in this population point?"", ""c111_01"": ""agriculture"", ""c111_02"": ""mining"", ""c111_03"": ""manufacturing"", ""c111_04"": ""energy, gas ans water supply"", ""c111_05"": ""construction"", ""c111_06"": ""trade"", ""c111_07"": ""restaurants and hotels"", ""c111_08"": ""transport"", ""c111_09"": ""finance"", ""c111_10"": ""real estate, insurance"", ""c111_11"": ""public administration"", ""c111_12"": ""education"", ""c111_13"": ""health and social services"", ""c111_14"": ""service activities"", ""c111_15"": ""private households with employees"", ""c111_16"": ""exterritorial organisations"", ""c112"": ""what part of the male working age population in this population point does not h"", ""c113"": ""what part of population in this population point is engaged in agriculture?"", ""c114"": ""what is in your view the share of adult in this population point who work abroad"", ""c115_01"": ""cotton"", ""c115_02"": ""tobacco"", ""c115_03"": ""wheat"", ""c115_04"": ""cereal grains (except wheat)"", ""c115_05"": ""potatoes"", ""c115_06"": ""fruits"", ""c115_07"": ""vegetables"", ""c115_08"": ""livestock and poultry"", ""c115_09"": ""meat products"", ""c115_10"": ""raw milk, dairy products"", ""c115_11"": ""other products"", ""c116_01"": ""which of the following shocks affected your population point during the last 12"", ""c116_02"": ""which of the following shocks affected your population point during the last 12"", ""c116_03"": ""which of the following shocks affected your population point during the last 12"", ""c116_04"": ""which of the following shocks affected your population point during the last 12"", ""c116_05"": ""which of the following shocks affected your population point during the last 12"", ""c116_06"": ""which of the following shocks affected your population point during the last 12"", ""c116_07"": ""which of the following shocks affected your population point during the last 12"", ""c116_08"": ""which of the following shocks affected your population point during the last 12"", ""c116_09"": ""which of the following shocks affected your population point during the last 12"", ""c116_10"": ""which of the following shocks affected your population point during the last 12"", ""c116_11"": ""which of the following shocks affected your population point during the last 12"", ""c116_12"": ""which of the following shocks affected your population point during the last 12"", ""c116_13"": ""which of the following shocks affected your population point during the last 12"", ""c116_14"": ""which of the following shocks affected your population point during the last 12"", ""c116_15"": ""which of the following shocks affected your population point during the last 12"", ""c116_16"": ""which of the following shocks affected your population point during the last 12"", ""c116_17"": ""which of the following shocks affected your population point during the last 12"", ""c117_01"": ""how many households in your population point were affected by this shock?  droug"", ""c117_02"": ""how many households in your population point were affected by this shock?  too m"", ""c117_03"": ""how many households in your population point were affected by this shock?  very"", ""c117_04"": ""how many households in your population point were affected by this shock?  frost"", ""c117_05"": ""how many households in your population point were affected by this shock?  earth"", ""c117_06"": ""how many households in your population point were affected by this shock?  lands"", ""c117_07"": ""how many households in your population point were affected by this shock?  pest"", ""c117_08"": ""how many households in your population point were affected by this shock?  fire"", ""c117_09"": ""how many households in your population point were affected by this shock?  insuf"", ""c117_10"": ""how many households in your population point were affected by this shock?  polit"", ""c117_11"": ""how many households in your population point were affected by this shock?  destr"", ""c117_12"": ""how many households in your population point were affected by this shock?  destr"", ""c117_13"": ""how many households in your population point were affected by this shock?  inabi"", ""c117_14"": ""how many households in your population point were affected by this shock?  debat"", ""c117_15"": ""how many households in your population point were affected by this shock?  insuf"", ""c117_16"": ""how many households in your population point were affected by this shock?  growt"", ""c117_17"": ""how many households in your population point were affected by this shock?  borde"", ""c118"": ""How many times in the last 12 months community inhabitants met to solve the comm"", ""c119_1"": ""which activities do members of your population point address in common during th"", ""c119_2"": ""which activities do members of your population point address in common during th"", ""c119_3"": ""which activities do members of your population point address in common during th"", ""c119_4"": ""which activities do members of your population point address in common during th"", ""c119_5"": ""which activities do members of your population point address in common during th"", ""c119_6"": ""which activities do members of your population point address in common during th"", ""c119_7"": ""which activities do members of your population point address in common during th"", ""c119_7n"": ""Details for option 7 in question c119"", ""c120"": ""Do you have a designated place to discuss community problems?"", ""c121"": ""on average, how many people participated in each meeting or common activity duri"", ""cluster"": ""Cluster"", ""datab"": ""Birth year of the respondent"", ""dolj"": ""Admin.position of the respondent in the community"", ""educ"": ""Educational level of the respondent"", ""gender"": ""Gender of the respondent"", ""interv"": ""interviewer code"", ""longliv"": ""Number of years the respondent lived in the community"", ""obl"": ""code oblast"", ""soate"": ""community code"", ""superv"": ""supervisor code"", ""urb"": ""Rural/urban, 1=urban""}",74,"[""cluster""]",[],"[""c111_11""]","[""cluster""]","[""obl""]","[""urb"", ""c105_07"", ""c106_07""]","[""datab""]",no exact duplicate rows,1,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/community/cm2.sav,cm2.sav,sav,81440,3360,6,2010,2010,community,"[""soate"", ""cluster"", ""c201_0"", ""c201_2"", ""c201_3"", ""c201_4""]","{""c201_0"": ""item/product"", ""c201_2"": ""supermarket"", ""c201_3"": ""small shop"", ""c201_4"": ""market"", ""soate"": ""community code""}",1,"[""cluster""]",[],[],"[""cluster""]",[],[],[],no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/control/hhcontrol.sav,hhcontrol.sav,sav,103447,3000,10,2010,2010,household,"[""hhid"", ""oblast"", ""cluster"", ""soate"", ""location"", ""replace"", ""reason"", ""finish"", ""primarylast"", ""stratum""]","{""cluster"": ""claster"", ""finish"": ""note about survey finish"", ""hhid"": ""household code"", ""location"": ""district code (1-city, 2 - village)"", ""primarylast"": ""Èíäèêàòîð êàæäîãî ïåðâîãî äóáëèðóþùåãîñÿ íàáëþäåíèÿ â êà÷åñòâå ïåðâè÷íîãî"", ""reason"": ""replacement reason"", ""replace"": ""notes on household replacement"", ""soate"": ""community code (ÑÎÀÒÎ)""}",3,"[""cluster""]",[],"[""stratum""]","[""cluster""]","[""oblast""]",[],[],no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/control/txt_eng.sav,txt_eng.sav,sav,448928,8300,7,2010,2010,UNCERTAIN,"[""hhid"", ""pid"", ""i305_1"", ""i305_2"", ""i305_3"", ""ai346"", ""ai301""]",{},0,[],[],[],[],[],[],[],no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/household/hh1a.sav,hh1a.sav,sav,428906,13739,15,2010,2010,household,"[""hhid"", ""pid"", ""h102"", ""h103_m"", ""h103_y"", ""age"", ""h104"", ""h105"", ""h106"", ""h107_1"", ""h107_2"", ""h107_3"", ""h108"", ""h109"", ""h110""]","{""age"": ""age"", ""h102"": ""what is sex?"", ""h103_m"": ""month of birth"", ""h103_y"": ""year of birth"", ""h104"": ""what is relationship to the head of the household?"", ""h105"": ""what is ethnicity?"", ""h106"": ""what is  native language?"", ""h107_1"": ""other languages can read, write and speak  lang1"", ""h107_2"": ""other languages can read, write and speak  lang2"", ""h107_3"": ""other languages can read, write and speak  lang3"", ""h108"": ""what is marital status?"", ""h109"": ""does  currently stay in the household dwelling?"", ""h110"": ""only if no in h109: for what reason?"", ""hhid"": ""household code"", ""pid"": ""id code""}",10,"[""pid""]",[],[],[],[],[],"[""h103_m"", ""h103_y""]",no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/household/hh1b.sav,hh1b.sav,sav,208972,4814,22,2010,2010,household,"[""hhid"", ""pid"", ""age"", ""h111"", ""h112"", ""h113"", ""h114"", ""h115"", ""h116"", ""h117_w"", ""h118"", ""h119"", ""h120"", ""h121_1"", ""h121_2"", ""h121_3"", ""h121_4"", ""h122"", ""h123"", ""h124"", ""h125"", ""h126""]","{""age"": ""age"", ""h111"": ""who usually takes care ofduring the day?"", ""h112"": ""is  currently enrolled at the educational institution?"", ""h113"": ""why is  not studying at the moment?"", ""h114"": ""in what level is enrolled in the current academic year (2010-2011)?"", ""h115"": ""in what grade is  enrolled in the current academic year (2010-2011), i.e. in whi"", ""h116"": ""is currently attending the educational institution?"", ""h118"": ""what was the main reason for [name] to miss the school?"", ""h119"": ""was school ever closed during the past academic year (excl. holidays)?"", ""h120"": ""what was the main reason for the longest closure of school during the past acade"", ""h121_1"": ""how much did your household spend on  education in the past academic year for:"", ""h121_2"": ""how much did your household spend on  education in the past academic year for:"", ""h121_3"": ""how much did your household spend on  education in the past academic year for:"", ""h121_4"": ""how much did your household spend on  education in the past academic year for:"", ""h122"": ""on average, how many hours each day did [name] spend doing homework during past"", ""h123"": ""on average, how many hours each day did [name] spend helping at home, family bus"", ""h124"": ""if any, how many hours a day did [name] work outside of the household for money"", ""h125"": ""how many hours per week does [name] usually use a computer for studying or work"", ""h126"": ""what is the type of the current school [name] is attending? if not currently att"", ""hhid"": ""household code"", ""pid"": ""id code""}",9,"[""pid""]",[],[],[],[],[],"[""h114"", ""h115"", ""h119"", ""h121_1"", ""h121_2"", ""h121_3"", ""h121_4""]",no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/household/hh1c.sav,hh1c.sav,sav,120724,4814,14,2010,2010,household,"[""hhid"", ""pid"", ""h127"", ""age"", ""h128"", ""h129"", ""h130"", ""h131"", ""h132"", ""h133"", ""h134"", ""h135"", ""h136"", ""h137""]","{""age"": ""age"", ""h127"": ""in which oblast was the child born?"", ""h128"": ""how many kilograms does he/she weigh?"", ""h129"": ""what is his/her height in centimeters?"", ""h130"": ""what is his/her upper arm circumference (in centimeters)?"", ""h131"": ""do you have a card where his/her vaccinations are written down?"", ""h132"": ""did he/she ever have any vaccinations to prevent him/her from getting diseases,"", ""h133"": ""did he/she ever have a bcg vaccination against tuberculosis, that is, an injecti"", ""h134"": ""did he/she ever get a polio vaccine, that is, pink or white drops in the mouth?"", ""h135"": ""within the last 6 months, was he/she given a vitamin a dose?"", ""h136"": ""how many times has he/she consulted a doctor for any illness or infection during"", ""h137"": ""how many nights did he/she spend in a hospital due to any illnes or infection du"", ""hhid"": ""household code"", ""pid"": ""id code""}",6,"[""pid""]",[],[],[],"[""h127""]",[],[],no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/household/hh2a.sav,hh2a.sav,sav,196526,3000,25,2010,2010,household,"[""hhid"", ""h201"", ""h202"", ""h202_1"", ""h202_2"", ""h202_3"", ""h202_4"", ""h202_5"", ""h202_6"", ""h203"", ""h204"", ""h205_1"", ""h205_2"", ""h206_1"", ""h206_2"", ""h207"", ""h208"", ""h209"", ""h210"", ""h211"", ""h212_1"", ""h212_2"", ""h212_3"", ""h212_4"", ""h212_5""]","{""h201"": ""what is the type of your housing?"", ""h202"": ""How and when did you get your dwelling?"", ""h202_1"": ""how and when did you get it?  purchased"", ""h202_2"": ""how and when did you get it?  built"", ""h202_3"": ""how and when did you get it?  bartered"", ""h202_4"": ""how and when did you get it?  inherited"", ""h202_5"": ""how and when did you get it?  given by state"", ""h202_6"": ""how and when did you get it?  rented"", ""h203"": ""how many living rooms does your dwelling have (excl.kitchen, bathrooms and stora"", ""h204"": ""what is the main source of drinking water for your household?"", ""h205_1"": ""what is the main source of heating?"", ""h205_2"": ""what is the main source of heating?"", ""h206_1"": ""what do you mainly use for cooking?"", ""h206_2"": ""what do you mainly use for cooking?"", ""h207"": ""what is the main material of the floor?"", ""h208"": ""what is the main material of walls?"", ""h209"": ""what is the main material of the roof?"", ""h210"": ""was your housing affected or damaged by violence this year?"", ""h211"": ""do you know what happened to your dwelling?"", ""h212_1"": ""what is the distance (in km) between your house and...?   next main road"", ""h212_2"": ""what is the distance (in km) between your house and...?   next agricultural mark"", ""h212_3"": ""what is the distance (in km) between your house and...?   town hall of your comm"", ""h212_4"": ""what is the distance (in km) between your house and...?   next school"", ""h212_5"": ""what is the distance (in km) between your house and...?   next hospital"", ""hhid"": ""household code""}",12,[],[],[],[],[],[],"[""h210""]",no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
kyrgyzstan,Life in Kyrgyzstan Study (LiK),kyrgyzstan-02-b52af7b045d9,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_spss__b52af7b0/spss/data2010/household/hh2b.sav,hh2b.sav,sav,564578,35714,6,2010,2010,household,"[""hhid"", ""asset"", ""h213"", ""h214"", ""h215_s"", ""h215_v""]","{""asset"": ""type of asset"", ""h213"": ""possession"", ""h214"": ""quantity"", ""h215_s"": ""If you were to sell it today, what amount you can get?"", ""h215_v"": ""Currency code for h215_s"", ""hhid"": ""household code""}",3,[],[],[],[],[],[],[],no exact duplicate rows,0,,Metadata read successfully; no respondent values exported.
