country,relative_path,source_archive,nesting_depth,filename,extension,size,probable_survey,probable_year,probable_wave_or_round,probable_observation_level,suspected_role,openable_status,opening_error,notes
kyrgyzstan,data/kyrgyzstan/dataverse_files.zip,,,dataverse_files.zip,.zip,72129966,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,other,openable,,original archive/file in legacy raw-data location; left unchanged
uzbekistan,data/uzbekistan/UNICEF-UZ-20250314T080638Z-001.zip,,,UNICEF-UZ-20250314T080638Z-001.zip,.zip,29646052,Uzbekistan UNICEF survey collection (exact component inferred from path),,,UNCERTAIN,other,openable,,original archive/file in legacy raw-data location; left unchanged
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/Documentation.zip,kyrgyzstan-00-9f4206f0c161,0,Documentation.zip,.zip,1219342,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,other,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/IDSC_repository.zip,kyrgyzstan-00-9f4206f0c161,0,IDSC_repository.zip,.zip,70891297,Life in Kyrgyzstan Study (LiK),,,person,other,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_00/MANIFEST.TXT,kyrgyzstan-00-9f4206f0c161,0,MANIFEST.TXT,.txt,107,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,README,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_FAQs.pdf,kyrgyzstan-01-a2e795f2838c,1,LiK_FAQs.pdf,.pdf,357465,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,publication,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_FAQs_Rus.pdf,kyrgyzstan-01-a2e795f2838c,1,LiK_FAQs_Rus.pdf,.pdf,742588,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,publication,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/Documentation__a2e795f2/LiK_PUBLICATIONS.pdf,kyrgyzstan-01-a2e795f2838c,1,LiK_PUBLICATIONS.pdf,.pdf,263649,Life in Kyrgyzstan Study (LiK),,,UNCERTAIN,publication,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_Docu.zip,kyrgyzstan-01-58e70c17db2b,1,LIK_10_13_Docu.zip,.zip,21184698,Life in Kyrgyzstan Study (LiK),,,person,other,openable,,
kyrgyzstan,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_01/IDSC_repository__58e70c17/LIK_10_13_spss.zip,kyrgyzstan-01-58e70c17db2b,1,LIK_10_13_spss.zip,.zip,12240200,Life in Kyrgyzstan Study (LiK),,,person,other,openable,,
