country,concept,status,exact_file,exact_variable,label,question_wording,value_labels,unit,recall_period,observation_level,waves_or_rounds,missingness,usable_sample_size,comparison_status,confidence,notes
kyrgyzstan,household identifier,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Agriculture/ag0.dta,hhid,Household code,Household code,{},not stated in metadata,,agriculture,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/2313 (0.0%),2313,candidate in both countries,high,Top automated candidate selected from 418 label-supported candidates.
kyrgyzstan,survey year or round,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/LiK19_Study_Description.pdf,wave assigned from source file,LiK survey wave; latest release is Panel Wave 6 (2019),not a respondent question,,wave/year,,file/wave metadata,"[""2010; 2011; 2012; 2013; 2016; 2019""]",not computed,not computed,candidate in both countries,high,Top automated candidate selected from 1 label-supported candidates. unsupported format for aggregate check
kyrgyzstan,weights,AVAILABLE IN UZBEKISTAN ONLY,not found,not found,,,,,,,,not assessable,not assessable,no label-supported candidate in current metadata,unknown,Absence from automated metadata search is not proof of absolute absence; manual questionnaire review may be required.
kyrgyzstan,rural or urban,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LIK_10_13_stata__4f932d8b/stata/data2010/community/cm1.dta,urb,"Rural/urban, 1=urban","Rural/urban, 1=urban","{""1"": ""city"", ""2"": ""village""}",not stated in metadata,,community,"[""2010""]",0/120 (0.0%),120,candidate in both countries,high,Top automated candidate selected from 2 label-supported candidates.
kyrgyzstan,region,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta,oblast,Oblast,Oblast,"{""2"": ""Issyk-Kul"", ""3"": ""Jalal-Abad"", ""4"": ""Naryn"", ""5"": ""Batken"", ""6"": ""Osh"", ""7"": ""Talas"", ""8"": ""Chui"", ""11"": ""Bishkek"", ""21"": ""Osh city""}",not stated in metadata,,household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/2316 (0.0%),2316,candidate in both countries,high,Top automated candidate selected from 72 label-supported candidates.
kyrgyzstan,household size,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Agriculture/ag73.dta,a731,"which members of your household were involved in raising animals, including chil","which members of your household were involved in raising animals, including chil",{},not stated in metadata,,agriculture,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/1086 (0.0%),1086,candidate in both countries,high,Top automated candidate selected from 63 label-supported candidates.
kyrgyzstan,migration,FULLY AVAILABLE,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6a.dta,h602,Migrant ID from HH roster,Migrant ID from HH roster,{},not stated in metadata,,household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/781 (0.0%),781,candidate in both countries,high,Top automated candidate selected from 309 label-supported candidates.
kyrgyzstan,remittances,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta,h620,"H620 During the last 12 months, did you receive any money from abroad sent by mi","H620 During the last 12 months, did you receive any money from abroad sent by mi","{""1"": ""Yes"", ""2"": ""No""}",not stated in metadata,last 12 months,household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2016"", ""2019""]",0/529 (0.0%),529,country-specific candidate only,high,Top automated candidate selected from 112 label-supported candidates. The 529 rows are records in the remittance module; verify its eligible-household universe before defining non-recipients.
kyrgyzstan,remittance amount,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta,h622,H622 How much money in total did the migrant(s) send during the last 12 months?,H622 How much money in total did the migrant(s) send during the last 12 months?,{},currency recorded separately in h623 (Som or US dollar),last 12 months,household,"[""2010"", ""2011"", ""2012"", ""2013"", ""2019""]",123/529 (23.3%),406,country-specific candidate only,high,Top automated candidate selected from 39 label-supported candidates. The 529 rows are records in the remittance module; amount is conditional and currency is stored in h623.
kyrgyzstan,economic shocks,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 4 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
kyrgyzstan,employment shocks,AVAILABLE IN KYRGYZSTAN ONLY,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,shock,Name of shock,Name of shock,"{""1"": ""Drought"", ""2"": ""Too much rain or flood"", ""3"": ""Very cold winter"", ""4"": ""Frosts"", ""5"": ""Landslides"", ""6"": ""Pest or diseases (crops or livestock)"", ""7"": ""Fire"", ""8"": ""Insufficient water supply for farming or gardening"", ""9"": ""Political instability"", ""10"": ""Theft of assets (cash, crops, livestock)"", ""11"": ""Inability to sell agricultural and other products"", ""12"": ""Loss of job"", ""13"": ""Sharp fall of remittances from abroad"", ""14"": ""Death of a major breadwinner"", ""15"": ""Death of another HH member"", ""16"": ""Death of close relative, non-member of HH"", ""17"": ""Illness of a major breadwinner"", ""18"": ""Illness of another HH member"", ""19"": ""Divorce"", ""20"": ""Disputes on land issues"", ""21"": ""Accident"", ""22"": ""Insufficient energy supply"", ""23"": ""Increased violence in the neighbourhood"", ""24"": ""Border closure for the movement of people and goods"", ""25"": ""Forced relocation""}",not stated in metadata,last 12 months (from companion h701 wording),household,"[""2019""]",0/772 (0.0%),772,country-specific candidate only,high,"Top automated candidate selected from 1 label-supported candidates. The 772 rows are household-shock episodes, not unique households; collapse by hhid and shock category in Phase 2."
