round,household_round_count,unique_households,complete_fies_count,mean_raw_score,median_raw_score,any_affirmative_item_proportion,remittance_receipt_proportion,work_loss_shock_proportion,any_verified_shock_proportion,small_cell_status,weight_status,note
49,1446,1446,1446,1.7081604426002766,1.0,0.5159059474412172,0.0912863070539419,0.007607192254495159,0.014522821576763486,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
50,1442,1442,1442,1.0533980582524272,0.0,0.37725381414701803,0.06657420249653259,0.004160887656033287,0.009015256588072122,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
51,1444,1444,1444,0.9508310249307479,0.0,0.3462603878116344,0.06440443213296398,0.0034626038781163434,0.009695290858725761,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
52,1444,1444,1444,0.9127423822714681,0.0,0.34418282548476453,0.05678670360110803,0.004155124653739612,0.0110803324099723,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
53,1438,1438,1438,0.9325452016689847,0.0,0.33936022253129344,0.05285118219749652,0.0076495132127955496,0.014603616133518776,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
54,1438,1438,1438,0.9916550764951322,0.0,0.3560500695410292,0.06328233657858136,0.0034770514603616135,0.01043115438108484,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
55,1431,1431,1431,0.8616352201257862,0.0,0.29909154437456326,0.05241090146750524,0.0034940600978336828,0.013277428371767994,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
56,1430,1430,1430,0.916083916083916,0.0,0.3034965034965035,0.06293706293706294,0.0048951048951048955,0.011888111888111888,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
57,1424,1424,1424,0.827247191011236,0.0,0.24578651685393257,0.07724719101123595,0.006320224719101123,0.018258426966292134,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
58,1419,1419,1419,0.6546863988724454,0.0,0.1952078928823115,0.0916138125440451,0.0035236081747709656,0.008456659619450317,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
59,1416,1416,1416,0.547316384180791,0.0,0.19915254237288135,0.08898305084745763,0.002824858757062147,0.007062146892655367,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
60,1382,1382,1382,0.6201157742402316,0.0,0.2141823444283647,0.08031837916063676,0.0,0.005788712011577424,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
61,1375,1375,1375,0.5549090909090909,0.0,0.22327272727272726,0.06763636363636363,0.0014545454545454545,0.004363636363636364,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
62,1371,1371,1371,0.6382202771699489,0.0,0.23559445660102116,0.06783369803063458,0.002188183807439825,0.008023340627279359,ADEQUATE,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
