result_id,country,model_id,analysis_unit,outcome,remittance,shock,interaction_coefficient,standard_error,ci_lower,ci_upper,p_value,adjusted_p_value,observations,clusters,weight_status,control_set,fixed_effects,primary_or_secondary,supports_buffering_pattern,interpretation,limitations,eligible_for_main_text,supervisor_status,notes
R001,Kyrgyzstan,KG_M2,adult respondent,lik_fies_raw_score,lik_remittance_receipt,lik_any_shock,-0.2140051742341785,0.2249750542685473,-0.6549481780204756,0.2269378295521184,0.3414827747232367,,6297,2215,unweighted,preferred adjusted,oblast fixed effects,primary,"YES, DIRECTIONALLY",Observational interaction association interpreted with predicted group outcomes.,"Control missingness, measurement differences, and residual confounding remain possible.",1,REVIEW,No causal claim.
R002,Uzbekistan,UZ_M2,household-round,uzb_fies_raw_score,uzb_any_remittance,uzb_work_loss_shock,-1.111911728846368,0.3555421423148502,-1.808761522769689,-0.4150619349230472,0.0017637797273146,,47135,2000,unweighted; popw not used,preferred adjusted,round fixed effects,primary,"YES, DIRECTIONALLY",Observational interaction association interpreted with predicted group outcomes.,"Control missingness, measurement differences, and residual confounding remain possible.",1,REVIEW,No causal claim.
R003,Kyrgyzstan,KG_R_STD,,kg_fies_z,,lik_any_shock,-0.0908010197823841,0.0954554693655576,-0.2778903018662436,0.0962882623014753,0.3414827747232403,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R004,Kyrgyzstan,KG_R_LPM,,kg_any_fi,,lik_any_shock,-0.0369290115287055,0.0465945288064168,-0.1282526098658966,0.0543945868084855,0.4280335737306422,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R005,Kyrgyzstan,KG_SHOCK_ECONOMIC,,lik_fies_raw_score,,lik_economic_shock,-0.4595700899140578,0.8136402969443586,-2.054275768295476,1.13513558846736,0.5721880276898217,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R006,Kyrgyzstan,KG_SHOCK_HEALTH,,lik_fies_raw_score,,lik_health_shock,-0.3293485716362023,0.2873629049437469,-0.8925695158187534,0.2338723725463488,0.2517509755315195,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R007,Kyrgyzstan,KG_SHOCK_AGRICULTURAL,,lik_fies_raw_score,,lik_agricultural_shock,0.0111332583917239,0.277782455609987,-0.533310350140947,0.5555768669243949,0.9680300998552304,,6297,2215,unweighted,robustness,h104;oblast,secondary,NO,Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R008,Kyrgyzstan,KG_SHOCK_CLIMATE,,lik_fies_raw_score,,lik_climate_shock,-0.0849027047897415,0.2802978758215535,-0.6342764463430668,0.4644710367635838,0.7619647711542603,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R009,Kyrgyzstan,KG_REM_MIGRANT,,lik_fies_raw_score,,lik_any_shock,-0.2720067410659863,0.2199920843101461,-0.7031833031977719,0.1591698210657992,0.2162955141783797,,6297,2215,unweighted,robustness,h104;oblast,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R010,Kyrgyzstan,KG_HH_lik_hh_mean_adult_raw_score,,lik_hh_mean_adult_raw_score,,lik_any_shock,-0.2918820568771583,0.2578193859473109,-0.7971987678501198,0.2134346540958031,0.2575846826871952,,2221,2221,unweighted,robustness,none,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
R011,Kyrgyzstan,KG_HH_lik_hh_max_adult_raw_score,,lik_hh_max_adult_raw_score,,lik_any_shock,-0.2688807532184254,0.3434702028322957,-0.9420699805323922,0.4043084740955414,0.4337235721106012,,2221,2221,unweighted,robustness,none,secondary,"YES, DIRECTIONALLY",Secondary observational association.,Secondary family; not used to redefine primary model.,0,REVIEW,No significance stars.
