reference_key,in_text_citation_found,reference_list_entry,verified,status
Akter and Basher 2014,1,1,1,PASS
Ansah et al. 2021,1,1,1,PASS
Azam and Gubert 2006,1,1,1,PASS
Bowen et al. 2020,1,1,1,PASS
Brueck et al. 2014,1,1,1,PASS
Cafiero et al. 2018,1,1,1,PASS
Choi and Yang 2007,1,1,1,PASS
Combes and Ebeke 2011,1,1,1,PASS
FAO 2026,1,1,1,PASS
Hoddinott 2006,1,1,1,PASS
Kakhkharov et al. 2021,1,1,1,PASS
Leibniz Institute et al. 2023,1,1,1,PASS
Lucas and Stark 1985,1,1,1,PASS
O'Brien et al. 2018,1,1,1,PASS
Stark and Levhari 1982,1,1,1,PASS
Uochi 2025,1,1,1,PASS
Wang et al. 2021,1,1,1,PASS
World Bank 2023,1,1,1,PASS
World Bank 2025a,1,1,1,PASS
World Bank 2025b,1,1,1,PASS
