country,dataset,source_file,observation_level,variable,round,rows_in_round,nonmissing,valid
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,1,1504,1504,1504
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,2,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,3,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,4,1520,1520,1520
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,5,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,6,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,7,1524,1524,1524
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,8,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,9,1522,1522,1522
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,10,1525,1525,1525
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,11,1523,1523,1523
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,12,1521,1521,1521
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,13,1507,1507,1507
uzbekistan,L2CU 2018-2025,data/interim/unpacked/uzbekistan/l2cu_v03/l2cu_cati_household_data_82.csv,household-round,round,14,1519,1519,1519
