round,households_observed,new_households,households_leaving_after_round,complete_fies_observations,remittance_module_coverage,shock_module_coverage,structural_changes_note,consecutive_round_household_count,consecutive_round_proportion,weight_status,note
49,1498,1498,,1498,1446,1498,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",0,0.0,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
50,1495,11,14,1495,1442,1495,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1484,0.9926421404682274,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
51,1494,3,4,1494,1444,1494,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1491,0.9979919678714859,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
52,1494,2,2,1494,1444,1494,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1492,0.998661311914324,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
53,1491,2,5,1491,1438,1491,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1489,0.9986586183769283,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
54,1491,8,8,1491,1438,1491,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1483,0.994634473507713,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
55,1490,2,3,1490,1431,1490,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1488,0.9986577181208054,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
56,1489,5,6,1489,1430,1489,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1484,0.9966420416386836,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
57,1488,4,5,1488,1424,1488,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1484,0.9973118279569892,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
58,1486,2,4,1486,1419,1486,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1484,0.9986541049798116,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
59,1484,5,7,1484,1416,1484,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1479,0.9966307277628033,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
60,1451,27,61,1451,1382,1451,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1423,0.9807029634734665,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
61,1439,12,24,1439,1375,1439,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1427,0.9916608756080612,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
62,1429,10,20,1429,1371,1429,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1419,0.9930020993701889,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
63,1423,12,20,1423,1365,1423,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1409,0.9901616303583978,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
64,1400,18,41,1400,1343,1400,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1382,0.9871428571428571,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
65,1383,14,33,1383,1329,1383,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1367,0.9884309472161966,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
66,1378,11,19,1378,1323,1378,"Module coverage is reported as observed nonmissing coverage, not respondent refusal.",1364,0.9898403483309144,unweighted; popw not used,L2CU results are unweighted because the interpretation and normalization of `popw` have not been approved.
