model_id,group,remittance,shock,predicted_outcome,standard_error,ci_lower,ci_upper,observations,clusters,method,weight_status
KG_M0,"No remittance, no shock",0,0,1.1820382473977245,0.056631835614296425,1.0710418892153106,1.2930346055801383,6315,2221,observed-value standardization,unweighted
KG_M0,"Remittance, no shock",1,0,1.3342105263157897,0.11449109545447858,1.1098121026744743,1.5586089499571052,6315,2221,observed-value standardization,unweighted
KG_M0,"No remittance, shock",0,1,1.3490054249547918,0.11658550930721732,1.1205020255933866,1.577508824316197,6315,2221,observed-value standardization,unweighted
KG_M0,"Remittance, shock",1,1,1.213836477987421,0.162230417843386,0.8958707018175003,1.5318022541573415,6315,2221,observed-value standardization,unweighted
KG_M1,"No remittance, no shock",0,0,1.2089834439444656,0.05842808836733682,1.0944664950589618,1.3235003928299693,6314,2221,observed-value standardization,unweighted
KG_M1,"Remittance, no shock",1,0,1.2149669322770829,0.11745943500362227,0.9847506700255598,1.4451831945286058,6314,2221,observed-value standardization,unweighted
KG_M1,"No remittance, shock",0,1,1.3630534787732858,0.11578224901071829,1.1361244406632296,1.589982516883342,6314,2221,observed-value standardization,unweighted
KG_M1,"Remittance, shock",1,1,1.1042151902210975,0.16059826068529492,0.7894483832981445,1.4189819971440505,6314,2221,observed-value standardization,unweighted
KG_M2,"No remittance, no shock",0,0,1.240058723953128,0.05686926757343887,1.1285970076820162,1.3515204402242398,6297,2215,observed-value standardization,unweighted
KG_M2,"Remittance, no shock",1,0,0.9826306779854429,0.11771973626792973,0.7519042346307471,1.2133571213401388,6297,2215,observed-value standardization,unweighted
KG_M2,"No remittance, shock",0,1,1.4494131120253455,0.10883319256129798,1.236103974282689,1.662722249768002,6297,2215,observed-value standardization,unweighted
KG_M2,"Remittance, shock",1,1,0.9779798918234818,0.15347547672103373,0.6771734849401402,1.2787862987068235,6297,2215,observed-value standardization,unweighted
